id,set,descr
62,47,Odd numbers
62,3_ 33_ 99,numbers that are the same
62,51_ 39_ 87,odd numbers
62,64_ 96_ 24_ 56,even numbers
62,42_ 62,numbers between 42 and 65
389,75_ 95,numbers ending in 5
389,3_ 33_ 99,multiples of 3
389,47,prime numbers
389,96_ 48,multiples of 12
389,10_ 80,numbers ending in 0
219,7_ 67,numbers that end in seven 
219,28_ 13,numbers between 5 and 35
219,10_ 80,multiples of ten
219,7_ 31,odd numbers under 50
219,73_ 35_ 53_ 59,numbers with fives or threes in them
298,6_ 25,numbers under 30
298,73,uneven numbers
298,65_ 26_ 2,numbers under 65
298,55_ 15_ 75_ 45,numbers ending in 5
298,64_ 94_ 84,even numbers
4,8_ 16,divisible by 8
4,7,divisible by 7
4,73,odd numbers
4,11_ 26_ 74_ 2,numbers between 2 and 74
4,65_ 26_ 2,numbers between 2 and 65
344,64_ 96_ 24_ 56,numbers between 24 and 64
344,3_ 33_ 99,odd numbers
344,7_ 31,odd numbers with no multiples
344,42_ 62,even numbers with between 42 and 62 then added to highest or lowest
344,2,even numbers
11,10_ 55_ 58,between 10-58
11,55_ 15_ 75_ 45,ending in 5
11,98_ 54_ 18,even numbers
11,73,not sure
11,64_ 94_ 84,ending in 4
216,96_ 48,Divided by half
216,2,even number
216,73_ 35_ 53_ 59,uneven numbers
216,7_ 31,uneven numbers
216,42_ 62,add 20
173,6_ 25,numbers between 6 and 25
173,99_ 59_ 31_ 67,odd numbers?
173,98_ 83,numbers between 83 and 98
173,98_ 54_ 18,numbers ending in 4 or 8
173,8_ 92,numbers divisible by 2
295,28_ 13,numbers decrease in 15
295,3_ 33_ 99,odd numbers
295,47,nearest number of 50
295,10_ 80,even numbers
295,7_ 67,numbers between 5 and 70
174,73_ 35_ 53_ 59,Ended in 3_5_or 9 (I might have missed a few_ sorry for that)
174,69_ 19_ 85,Ended in 9 or 5
174,10_ 80,Was multiply of five or ten
174,42_ 62,Ended in 2
174,7_ 67,Ended in 7
337,69_ 19_ 85,decreasing then incresing
337,7_ 67,last number should be 7
337,2,multiple of 2
337,51_ 39_ 87,multiple of 3
337,75_ 95,multiple of 5
349,10_ 80,Even
349,96_ 48,Even
349,75_ 95,Numbers that end with 5
349,3_ 33_ 99,Numbers in 3''s
349,73_ 35_ 53_ 59,Numbers ending in 3_ 5 or 9
594,7_ 67,all numbers ending in seven
594,64_ 96_ 24_ 56,all numbers ending in even numbers
594,2,all even numbers
594,28_ 13,numbers between 28 and 13
594,59_ 14,numbers between 59 and 14
363,10_ 80,Numbers times ten.
363,75_ 95,Numbers times five.
363,96_ 48,even numbers.
363,59_ 14,Numbers between 14-59.
363,3_ 33_ 99,Numbers including 3''s and 9''s.
142,28_ 13,numbers between 10 and 40
142,42_ 62,even numbers between 30 and 80
142,59_ 14,numbers between 10 and 60
142,96_ 48,numbers that are a multiple of 6
142,51_ 39_ 87,odd numbers between 21 and 99
527,8_ 92,even numbers
527,11_ 26_ 74_ 2,numbers between 2 and 75
527,6_ 25,numbers between 5 and 30
527,55_ 15_ 75_ 45,odd numbers
527,8_ 16,even numbers
595,65_ 26_ 2,even numbers
595,73,not sure
595,8_ 92,not sure
595,8_ 16,mutiples of 8
595,98_ 83,subtracting 15
0,8_ 92,Even numbers
0,73,All numbers
0,8_ 16,multiples of 4 or 8
0,59_ 89_ 79,Any number that ends in 9
0,10_ 55_ 58,No discernible pattern.
50,8_ 16,even numbers possibly multiples of 8
50,55_ 15_ 75_ 45,odd numbers with 5 as the number end
50,46_ 76_ 66,even numbers with 6 as the number end
50,11_ 26_ 74_ 2,rather random and could be an even or odd number higher than 2
50,65_ 26_ 2,rather random and can be any even or odd number
484,10_ 55_ 58,numbers divisible by 2_ 5_ 11_ or 29
484,8_ 92,either even numbers or numbers between 1 and 100
484,11_ 26_ 74_ 2,I could not discern a pattern. It may be numbers under 100_ but could be only numbers between 2 and 74.
484,99_ 59_ 31_ 67,odd numbers
484,7,odd numbers_ or could be numbers divisible by 7
591,98_ 54_ 18,numbers that end with either 8 or 4
591,98_ 83,numbers between 80 and 100
591,11_ 26_ 74_ 2,numbers between 0 and 75
591,8_ 16,multiples of 8
591,65_ 26_ 2,numbers that contain either 2_ 5_ or 6
596,98_ 83,I think I misunderstood -- I was looking for patterns more complicated than these_ for example 98 -15 =83_ so the next one might be 83-15 = 68. This is why I clicked N so many times. I think I did this wrong. Anyway. These could be numbers between 80-100.
